"NAVDate","NAVPrice","NAVCurrency","AUMSize","AUMCurrency"
"10 avr. 2024","101,4600","EUR","324,9554M","EUR"
"09 avr. 2024","101,3000","EUR","324,4998M","EUR"
"08 avr. 2024","101,5300","EUR","325,2292M","EUR"
"05 avr. 2024","101,2400","EUR","324,3270M","EUR"
"04 avr. 2024","102,1000","EUR","327,1131M","EUR"
"03 avr. 2024","102,0300","EUR","326,8802M","EUR"
"02 avr. 2024","101,7200","EUR","325,8880M","EUR"
"28 mars 2024","102,9200","EUR","329,7804M","EUR"
"27 mars 2024","102,7900","EUR","326,9765M","EUR"
"26 mars 2024","102,5600","EUR","326,2994M","EUR"
"25 mars 2024","102,3900","EUR","325,6615M","EUR"
"22 mars 2024","102,4200","EUR","326,6047M","EUR"
"21 mars 2024","102,1900","EUR","325,8674M","EUR"
"20 mars 2024","101,2500","EUR","322,9439M","EUR"
"19 mars 2024","101,1000","EUR","322,5739M","EUR"
"18 mars 2024","100,8300","EUR","321,7468M","EUR"
"15 mars 2024","100,7500","EUR","321,4918M","EUR"
"14 mars 2024","101,1900","EUR","322,8994M","EUR"
"13 mars 2024","101,2600","EUR","323,1842M","EUR"
"12 mars 2024","101,1300","EUR","322,7710M","EUR"
"11 mars 2024","100,3400","EUR","320,3216M","EUR"
"08 mars 2024","100,8900","EUR","322,0765M","EUR"
"07 mars 2024","100,9900","EUR","322,3934M","EUR"
"06 mars 2024","99,6900","EUR","318,2710M","EUR"
"05 mars 2024","99,4000","EUR","317,3003M","EUR"
"04 mars 2024","99,4500","EUR","317,5213M","EUR"
"01 mars 2024","99,1100","EUR","316,3573M","EUR"
"29 févr. 2024","98,5600","EUR","314,5715M","EUR"
"28 févr. 2024","98,7100","EUR","315,0384M","EUR"
"27 févr. 2024","99,2700","EUR","316,9098M","EUR"
"26 févr. 2024","99,1200","EUR","316,3468M","EUR"
"23 févr. 2024","99,6500","EUR","318,1521M","EUR"
"22 févr. 2024","99,3600","EUR","317,3176M","EUR"
"21 févr. 2024","98,4100","EUR","314,3018M","EUR"
"20 févr. 2024","98,5900","EUR","314,9318M","EUR"
"19 févr. 2024","98,4700","EUR","314,5695M","EUR"
"16 févr. 2024","98,3200","EUR","314,3072M","EUR"
"15 févr. 2024","97,5300","EUR","311,7607M","EUR"
"14 févr. 2024","96,8800","EUR","309,6848M","EUR"
"13 févr. 2024","96,2900","EUR","307,8189M","EUR"
"12 févr. 2024","96,9200","EUR","309,8478M","EUR"
"09 févr. 2024","96,6500","EUR","309,0911M","EUR"
"08 févr. 2024","96,7800","EUR","309,3697M","EUR"
"07 févr. 2024","97,2600","EUR","310,6406M","EUR"
"06 févr. 2024","97,4200","EUR","311,2451M","EUR"
"05 févr. 2024","97,0800","EUR","310,1120M","EUR"
"02 févr. 2024","96,9900","EUR","308,2370M","EUR"
"01 févr. 2024","97,0800","EUR","308,5186M","EUR"
"31 janv. 2024","98,0800","EUR","311,7320M","EUR"
"30 janv. 2024","97,8900","EUR","309,4076M","EUR"
"29 janv. 2024","97,5100","EUR","308,1995M","EUR"
"26 janv. 2024","97,6400","EUR","308,7420M","EUR"
"25 janv. 2024","96,6800","EUR","305,7204M","EUR"
"24 janv. 2024","96,5300","EUR","305,4364M","EUR"
"23 janv. 2024","95,3700","EUR","301,7723M","EUR"
"22 janv. 2024","95,7300","EUR","302,9230M","EUR"
"19 janv. 2024","94,8700","EUR","300,2494M","EUR"
"18 janv. 2024","94,9600","EUR","300,5475M","EUR"
"17 janv. 2024","94,3400","EUR","298,6454M","EUR"
"16 janv. 2024","95,1000","EUR","301,3201M","EUR"
"15 janv. 2024","95,2500","EUR","301,7081M","EUR"
"12 janv. 2024","95,7000","EUR","303,1239M","EUR"
"11 janv. 2024","94,9800","EUR","300,9313M","EUR"
